dataset,retriever,diffusion_alpha,hop,query_index,ndcg_at_k,f1_at_k,recall_at_k,b_max,bound_holds,bounds,candidate_ids,candidate_slots,certificate_kind,certified,empirical_score_delta,empirical_to_bound_ratio,global_certified,graph_neighbors,k,manifest_path,margin_k,min_pairwise_gap,min_rank_gap,n_hops,noise_std,order_certified,ordered_certified,ordering_changed,pairwise_certified,per_document_bound_holds,protocol_version,real_bounds,retrieval_k,run_id,run_kind,score_error_bounds,scores_old,seed,topk,topk_changed
hotpotqa,offline-numerical-fixture,0.6,1,0,0.6131471927654584,0.5,0.5,0.02486397586406611,True,"(0.024143976548066003, 0.008095992181475935, 0.008175992562957706, 0.02486397586406611)","(0, 1, 2, 3)",4,float64_guarded,True,0.021595029123452125,0.8685267891794277,True,3,2,C:\Users\prohi\OneDrive\Documents\Desktop\math paper\runs\20260917T201057_atrtomjp\20260917T201057_67afd39f78904bfdbac070fe0bdcf8c9\manifest.json,0.4436946151760336,0.42742263043159995,0.03209772620140805,2,0.0,True,True,False,True,True,topk-fp64-v2,"(np.float64(0.02414397654806359), np.float64(0.008095992181473713), np.float64(0.00817599256295668), np.float64(0.02486397586406467))",2,20260917T201057_67afd39f78904bfdbac070fe0bdcf8c9,smoke,"(np.float64(2.4120031168414037e-15), np.float64(2.2205796540771968e-15), np.float64(1.0255331749654328e-15), np.float64(1.4375339190916273e-15))","(0.8944271802902222, 0.8300894853592722, 0.3863948701832386, -0.545828553293143)",42,"(0, 1)",False
hotpotqa,offline-numerical-fixture,0.6,2,0,0.6131471927654584,0.5,0.5,0.004892155325325122,True,"(0.004863355243283057, 0.001623038428970079, 0.0016262385291036933, 0.004892155325325122)","(0, 1, 2, 3)",4,float64_guarded,True,0.004349917169082174,0.8891617047733633,True,3,2,C:\Users\prohi\OneDrive\Documents\Desktop\math paper\runs\20260917T201057_atrtomjp\20260917T201057_67afd39f78904bfdbac070fe0bdcf8c9\manifest.json,0.45330719782699047,0.45005792086891666,0.0728583506592717,2,0.0,True,True,False,True,True,topk-fp64-v2,"(np.float64(0.004863355243280609), np.float64(0.0016230384289678476), np.float64(0.0016262385291026724), np.float64(0.004892155325323704))",2,20260917T201057_67afd39f78904bfdbac070fe0bdcf8c9,smoke,"(np.float64(2.4465687289373654e-15), np.float64(2.2311161596092276e-15), np.float64(1.0206995782743637e-15), np.float64(1.4173430001651476e-15))","(0.9160222094136743, 0.8366774650821495, 0.383370267255159, -0.5331843170991025)",42,"(0, 1)",False
