run_id,protocol_version,seed,candidate_slots,n_hops,dataset,retriever,diffusion_alpha,run_kind,manifest_path,noise_std,retrieval_k,graph_neighbors,hop,lambda2,ndcg_at_k,f1_at_k,recall_at_k,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,max_bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
20260917T221211_8bbda953bbf54070b91f8ce0ddafd39b,topk-fp64-audited,42,4,2,hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,development,C:\Users\prohi\OneDrive\Documents\Desktop\math paper\runs\20260917T221211_8bbda953bbf54070b91f8ce0ddafd39b\manifest.json,0.0,2,3,1,1.33333333333333,0.6131471927654584,0.5,0.5,0.011313697709391588,0.00024999952316306917,0.5059899790358546,0.024143976837161484,0.49868758616976494,0.2561188543735924,0.02414397683715852,0.9999999999998773,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0
20260917T221211_8bbda953bbf54070b91f8ce0ddafd39b,topk-fp64-audited,42,4,2,hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,development,C:\Users\prohi\OneDrive\Documents\Desktop\math paper\runs\20260917T221211_8bbda953bbf54070b91f8ce0ddafd39b\manifest.json,0.0,2,3,2,1.3333333333333326,0.6131471927654584,0.5,0.5,0.002262739541878349,9.999980926522544e-06,0.5132859719140536,0.004863355301516198,0.5118245973426149,0.2984073258646211,0.0048633553015136055,0.9999999999994669,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0
