hop,query_index,ndcg_at_k,f1_at_k,recall_at_k,b_max,bound_holds,bounds,candidate_ids,certified,empirical_score_delta,empirical_to_bound_ratio,global_certified,graph_neighbors,k,margin_k,min_pairwise_gap,min_rank_gap,noise_std,order_certified,ordered_certified,ordering_changed,pairwise_certified,per_document_bound_holds,retrieval_k,scores_old,topk,topk_changed
1,0,0.6131471927654584,0.5,0.5,0.024863975463867788,True,"(0.02414397539806544, 0.008095992187500177, 0.00817599203491236, 0.024863975463867788)","(0, 1, 2, 3)",True,0.02159494161605835,0.8685232837138219,True,3,2,0.4436946213245392,0.42742263710212663,0.03209770321750445,0.0,True,True,False,True,True,2,"(0.8944271802902222, 0.8300895094871521, 0.3863948881626129, -0.5458285808563232)","(0, 1)",False
2,0,0.6131471927654584,0.5,0.5,0.00489215524658226,True,"(0.004863355011634859, 0.0016230384301760005, 0.001626238424072488, 0.00489215524658226)","(0, 1, 2, 3)",True,0.004350006580352783,0.8891799955432259,True,3,2,0.4533071517944336,0.45005787494018507,0.07285829640422796,0.0,True,True,False,True,True,2,"(0.9160221219062805, 0.8366774320602417, 0.3833702802658081, -0.5331843495368958)","(0, 1)",False
