certificate,coverage,n_certified,n_violations,relative_improvement_vs_global,coverage_reduction_vs_pairwise
global,0.0015054488259746096,335,0,1.0,0.015229749466352095
pairwise,0.016735198292326704,3724,0,11.11641791044776,0.0
ordered,0.004147848556341984,923,0,2.755223880597015,0.01258734973598472
