dataset,retriever,mean,median,p25,p75,p90
2wikimultihopqa,BGE,0.04069368016094114,0.0381536129059488,0.0239235230052053,0.0557673996777331,0.069305792259647
2wikimultihopqa,E5,0.049516179527715684,0.0483093806698094,0.0248761000858581,0.0727115388016963,0.08667620185710571
2wikimultihopqa,MiniLM,0.031174271954386743,0.0288238186145183,0.0192857335479149,0.0404270294318941,0.05268169258031024
hotpotqa,BGE,0.04211673052532937,0.0397646834332973,0.0243240889246433,0.0582955650283413,0.07148369895082606
hotpotqa,E5,0.04983858346613096,0.0484068095550242,0.0246077459233313,0.0735304234604405,0.08783285751360216
hotpotqa,MiniLM,0.03445509042269962,0.031733066553542,0.0210547134103426,0.0454344815094473,0.0583934345483909
musique,BGE,0.039704833769515495,0.0373591178239791,0.0234752486606172,0.0546492462331334,0.06708953645424101
musique,E5,0.04860674693834261,0.0470902725800846,0.0247817308203705,0.071182794448363,0.084969334861584
musique,MiniLM,0.03085402873756953,0.0286398898789806,0.0195486356547018,0.039851058324109,0.051345332969986605
