dataset,retriever_short,ndcg_at_5,pairwise_certificate_rate,global_certificate_rate,ordered_certificate_rate,topk_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,param_disagreement,score_bound,empirical_score_delta
2wikimultihopqa,BGE,0.8178172148929138,0.015449949443882696,0.001172901921132452,0.003882709807886752,0.1127199191102123,0,0,0,20.899836676824588,34.14577759844333,1.4606022941041643
2wikimultihopqa,E5,0.6666969574934207,0.004812942366026288,0.0,0.000606673407482304,0.18208291203235588,0,0,0,20.899836676824588,28.89247085596746,1.5499608287290567
2wikimultihopqa,MiniLM,0.607651192595026,0.03130434782608694,0.00404448938321536,0.007603640040444892,0.06632962588473201,0,0,0,20.899836676824588,10.588750195272041,0.3385641173444334
hotpotqa,BGE,0.8494269749349708,0.015652173913043473,0.001051567239635996,0.003599595551061676,0.10244691607684525,0,0,0,20.899836676824588,34.47140842052275,1.53434420659882
hotpotqa,E5,0.7522485691469456,0.005702730030333668,0.0,0.0007684529828109201,0.18584428715874615,0,0,0,20.899836676824588,28.782954167990944,1.555094328167706
hotpotqa,MiniLM,0.7399505445290414,0.028190091001011112,0.0033973710819009085,0.008533872598584428,0.06980788675429724,0,0,0,20.899836676824588,7.501554680204663,0.2668905516356018
musique,BGE,0.7697528423616175,0.015288169868554085,0.000404448938321536,0.003437815975733064,0.10099089989888771,0,0,0,20.899836676824588,34.7917787745746,1.4534078066510545
musique,E5,0.6753985585080098,0.0059858442871587435,0.0,0.0007280080889787641,0.17156723963599593,0,0,0,20.899836676824588,29.404782365724518,1.5437013445199441
musique,MiniLM,0.7254846691234036,0.028230535894843267,0.003478260869565208,0.008169868554095044,0.0706167846309403,0,0,0,20.899836676824588,8.511366088258042,0.2675715014077836
