dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
hotpotqa,intfloat/e5-small-v2,0.4,5,0.0,0.0,0.0,0,0,0,0.08695652173913043,0.22851365015166836
hotpotqa,intfloat/e5-small-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.60262891809909,0.9271991911021233
hotpotqa,intfloat/e5-small-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.2659251769464105,0.6380182002022244
hotpotqa,intfloat/e5-small-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.14256825075834176,0.4186046511627907
hotpotqa,intfloat/e5-small-v2,0.6,4,0.0,0.0,0.0,0,0,0,0.08291203235591507,0.25075834175935285
hotpotqa,intfloat/e5-small-v2,0.6,5,0.0,0.0,0.0,0,0,0,0.03640040444893832,0.13043478260869565
hotpotqa,intfloat/e5-small-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.7330637007077856,0.9696663296258847
hotpotqa,intfloat/e5-small-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.29120323559150657,0.6966632962588474
hotpotqa,intfloat/e5-small-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.11425682507583418,0.35995955510616784
hotpotqa,intfloat/e5-small-v2,0.8,4,0.0,0.0,0.0,0,0,0,0.032355915065722954,0.10920121334681497
hotpotqa,intfloat/e5-small-v2,0.8,5,0.0,0.14256825075834176,0.019211324570273004,0,0,0,0.006066734074823054,0.020222446916076844
hotpotqa,BAAI/bge-small-en-v1.5,0.1,1,0.0,0.0,0.0,0,0,0,0.04954499494438827,0.19312436804853386
hotpotqa,BAAI/bge-small-en-v1.5,0.1,2,0.0,0.0,0.0,0,0,0,0.06471183013144591,0.19413549039433772
hotpotqa,BAAI/bge-small-en-v1.5,0.1,3,0.0,0.0,0.0,0,0,0,0.0525783619817998,0.1718907987866532
hotpotqa,BAAI/bge-small-en-v1.5,0.1,4,0.0,0.0,0.0,0,0,0,0.03842264914054601,0.15267947421638017
hotpotqa,BAAI/bge-small-en-v1.5,0.1,5,0.0,0.0,0.0,0,0,0,0.033367037411526794,0.12234580384226491
hotpotqa,BAAI/bge-small-en-v1.5,0.2,1,0.0,0.0,0.0,0,0,0,0.12335692618806876,0.36299292214357937
hotpotqa,BAAI/bge-small-en-v1.5,0.2,2,0.0,0.0,0.0,0,0,0,0.0839231547017189,0.3033367037411527
hotpotqa,BAAI/bge-small-en-v1.5,0.2,3,0.0,0.0,0.0,0,0,0,0.08695652173913043,0.243680485338726
hotpotqa,BAAI/bge-small-en-v1.5,0.2,4,0.0,0.0,0.0,0,0,0,0.05055611729019211,0.18301314459049545
hotpotqa,BAAI/bge-small-en-v1.5,0.2,5,0.0,0.0,0.0,0,0,0,0.05864509605662285,0.17087967644084934
